transaction_id,account_id,transaction_ts,posting_date,currency,amount,merchant_id,merchant_name,category,country,city,payment_method,status,is_refund,reference
TXN0000874,ACC0039,2025-10-23 01:55:15,2025-10-24,SEK,224.93,M006,City Transit,entertainment,GB,London,BANK_TRANSFER,PENDING,0,4dc046b2
TXN0000336,ACC0012,2025-06-21 09:04:32,2025-06-23,NOK,327.09,M007,SkyFly,healthcare,NO,Oslo,MOBILE_PAY,PENDING,0,2ec8eb03
TXN0001004,ACC0007,2025-11-06 10:13:34,2025-11-06,GBP,457.10,M006,City Transit,uber,GB,London,CASH,FAILED,FALSE,261c5136
TXN0001083,ACC0009,2025-10-15 01:56:31,2025-10-15,NOK,377.47,M003,StreamFlix,transport,NO,Oslo,MOBILE_PAY,BOOKED,0,53aba32d
TXN0000854,ACC0025,2025-10-02 14:15:32,2025-10-04,USD,340.48,M006,City Transit,streaming,DE,Berlin,MOBILE_PAY,PENDING,FALSE,c843bef7
TXN0000294,ACC0047,2025/09/17 12:44,2025-09-17,USD,9.91,M006,City Transit,fee,DK,Copenhagen,CASH,PENDING,FALSE,0f005dfc
TXN0000013,ACC0043,2025-07-10 22:06:21,2025/07/12,GBP,391.63,M010,GadgetHub,entertainment,NO,Oslo,CARD,BOOKED,FALSE,7853c1f7
TXN0000886,ACC0028,2025-08-03 10:31:24,2025-08-03,NOK,454.68,M005,BookBarn,taxi,DK,Aarhus,MOBILE_PAY,BOOKED,0,ef1a92c1
TXN0000409,ACC0019,2025-06-30 00:58:23,2025/06/30,NOK,-211.86,M009,MegaMart,cafe,DE,Hamburg,CASH,FAILED,1,146a17f2
TXN0000180,ACC0031,not_a_date,2025/10/31,EUR,486.69,M001,Nordic Grocers,cafe,DK,Aarhus,BANK_TRANSFER,PENDING,0,da0583c7
TXN0000040,ACC0032,06-11-2025 11:54:56,2025-11-07,USD,484.17,M004,PowerCo,hotel,SE,Malmo,CASH,BOOKED,0,e2601a74
TXN0000852,ACC0036,2025-06-13 20:27:17,2025-06-13,SEK,401.93,M008,HealthPlus,uber,GB,London,CASH,PENDING,FALSE,58af0250
TXN0000224,ACC0036,16-06-2025 06:35:35,2025-06-18,DKK,98.16,M007,SkyFly,flight,GB,London,MOBILE_PAY,FAILED,0,7fc29fe0
TXN0000291,ACC0012,2025/09/08 05:56,2025-09-08,GBP,446.72,M003,StreamFlix,uber,SE,Malmo,MOBILE_PAY,BOOKED,FALSE,31677fc3
TXN0000488,ACC0019,30-10-2025 08:56:31,2025/10/31,GBP,31.49,M006,City Transit,grocery,SE,Gothenburg,CASH,BOOKED,0,4f57c5dc
TXN0000536,ACC0025,2025-08-01 22:31:42,2025-08-02,EUR,229.55,M007,SkyFly,shopping,GB,Edinburgh,CARD,BOOKED,FALSE,630f5032
TXN0001002,ACC0004,2025-10-25 11:00:59,2025-10-27,SEK,224.28,M002,Cafe Central,taxi,DK,Aarhus,BANK_TRANSFER,BOOKED,0,c1fae8f9
TXN0000128,ACC0009,25-09-2025 16:40:50,2025-09-26,USD,410.87,M005,BookBarn,restaurang,NO,Bergen,MOBILE_PAY,FAILED,FALSE,529c4056
TXN0000036,ACC0019,2025-12-30 06:39:50,2025/12/31,NOK,286.82,M005,BookBarn,streaming,GB,Manchester,MOBILE_PAY,PENDING,FALSE,90c801f9
TXN0000265,ACC0015,2025-08-18 21:27:07,2025-08-19,GBP,16.33,M007,SkyFly,internet,DK,Odense,MOBILE_PAY,BOOKED,0,7e7be20f
TXN0000176,ACC0045,2025-12-27 10:31:28,2025-12-29,DKK,131.38,M010,GadgetHub,books,DK,Aarhus,CARD,PENDING,FALSE,04b9f0ff
